id,sentiment,positive,negative,neutral
1124,Neutral,0,0,1
1125,Negative,0,1,0
1126,Negative,0,1,2
1127,Positive,2,0,0
1128,Negative,0,1,0
1129,Negative,0,1,0
1130,Neutral,0,0,2
1131,Negative,0,2,0
1132,Negative,0,1,0
1133,Negative,0,1,0
1134,Neutral,0,0,2
1135,Neutral,0,0,2
1136,Negative,0,1,0
1137,Negative,0,1,0
1138,Negative,0,1,2
1139,Negative,0,1,1
1140,Positive,1,0,1
1141,Positive,1,0,0
1142,Negative,0,1,0
1143,Negative,0,1,0
1144,Negative,0,1,0
1145,Negative,0,1,1
1146,Positive,1,0,0
1147,Neutral,0,0,1
1148,Neutral,0,0,1
1149,Negative,0,1,1
1150,Positive,1,0,0
1151,Negative,0,1,0
1152,Mixed,1,1,0
1153,Mixed,1,1,0
1154,Neutral,0,0,2
1155,Neutral,0,0,4
1156,Negative,0,1,0
1157,Negative,0,1,0
1158,Negative,0,1,1
1159,Positive,1,0,1
1160,Negative,0,1,0
1161,Neutral,0,0,1
1162,Positive,1,0,1
1163,Neutral,0,0,1
1164,Neutral,0,0,1
1165,Negative,0,1,0
1166,Negative,0,1,1
1167,Positive,1,0,0
1168,Negative,0,1,0
1169,Positive,1,0,0
1170,Negative,0,1,0
1171,Positive,1,0,1
1172,Positive,2,0,1
1173,Mixed,1,1,1
1174,Negative,0,1,0
1175,Mixed,3,1,1
1176,Negative,0,2,3
1177,Mixed,1,1,1
1178,Negative,0,2,0
1179,Positive,1,0,0
1180,Positive,2,0,0
1181,Negative,0,1,0
1182,Neutral,0,0,1
1183,Negative,0,1,1
1184,Neutral,0,0,2
1185,Mixed,1,1,0
1186,Negative,0,1,0
1187,Negative,0,1,0
1188,Negative,0,1,0
1189,Neutral,0,0,1
1190,Negative,0,1,1
1191,Negative,0,1,0
1192,Negative,0,1,0
1193,Mixed,1,2,0
1194,Positive,1,0,0
1195,Negative,0,2,0
1196,Negative,0,1,0
1197,Negative,0,1,0
1198,Negative,0,1,1
1199,Positive,1,0,0
1200,Negative,0,1,0
1201,Positive,1,0,2
1202,Positive,1,0,0
1203,Negative,0,1,0
1204,Positive,2,0,0
1205,Negative,0,1,2
1206,Neutral,0,0,1
1207,Negative,0,1,0
1208,Negative,0,1,0
1209,Positive,1,0,0
1210,Neutral,0,0,2
1211,Neutral,0,0,1
1212,Negative,0,1,1
1213,Negative,0,2,0
1214,Positive,1,0,1
1215,Mixed,1,1,0
1216,Negative,0,1,0
1217,Positive,1,0,0
1218,Neutral,0,0,1
1219,Negative,0,1,0
1220,Positive,1,0,0
1221,Positive,1,0,3
1222,Negative,0,1,1
1223,Neutral,0,0,1
1224,Positive,3,0,1
1225,Negative,0,1,1
1226,Neutral,0,0,1
1227,Negative,0,1,0
1228,Positive,2,0,0
1229,Neutral,0,0,2
1230,Negative,0,1,0
1231,Negative,0,1,0
1232,Mixed,1,2,1
1233,Neutral,0,0,2
1234,Negative,0,1,0
1235,Negative,0,1,0
1236,Negative,0,1,0
1237,Positive,1,0,1
1238,Positive,1,0,1
1239,Mixed,1,1,1
1240,Negative,0,1,0
1241,Negative,0,1,0
1242,Neutral,0,0,1
1243,Neutral,0,0,1
1244,Positive,2,0,0
1245,Negative,0,2,1
1246,Mixed,1,1,0
1247,Mixed,1,1,1
1248,Neutral,0,0,1
1249,Mixed,1,1,0
1250,Negative,0,1,0
1251,Positive,1,0,1
1252,Negative,0,1,0
1253,Mixed,1,1,0
1254,Neutral,0,0,1
1255,Positive,2,0,2
1256,Negative,0,1,2
1257,Neutral,0,0,1
1258,Positive,2,0,2
1259,Neutral,0,0,1
1260,Positive,2,0,0
1261,Neutral,0,0,1
1262,Negative,0,2,1
1263,Neutral,0,0,1
1264,Negative,0,1,0
1265,Neutral,0,0,1
1266,Positive,1,0,1
1267,Positive,1,0,1
1268,Mixed,1,1,0
1269,Negative,0,2,0
1270,Neutral,0,0,1
1271,Neutral,0,0,1
1272,Positive,1,0,0
1273,Neutral,0,0,1
1274,Positive,1,0,0
1275,Neutral,0,0,1
1276,Neutral,0,0,1
1277,Positive,1,0,1
1278,Mixed,1,2,0
1279,Positive,1,0,2
1280,Neutral,0,0,1
1281,Negative,0,1,1
1282,Neutral,0,0,3
1283,Neutral,0,0,2
1284,Negative,0,1,0
1285,Mixed,1,1,1
1286,Neutral,0,0,1
1287,Negative,0,1,2
1288,Negative,0,2,0
1289,Negative,0,1,0
1290,Negative,0,2,2
1291,Negative,0,1,2
1292,Neutral,0,0,2
1293,Negative,0,1,0
1294,Mixed,1,1,0
1295,Mixed,1,1,1
1296,Positive,2,0,0
1297,Mixed,1,1,2
1298,Negative,0,1,0
1299,Negative,0,1,0
1300,Negative,0,1,0
1301,Negative,0,1,1
1302,Negative,0,1,0
1303,Neutral,0,0,4
1304,Negative,0,1,1
1305,Neutral,0,0,1
1306,Positive,1,0,0
1307,Positive,1,0,1
1308,Positive,1,0,0
1309,Negative,0,1,0
1310,Mixed,1,1,1
1311,Negative,0,1,0
1312,Negative,0,1,0
1313,Negative,0,1,0
1314,Positive,1,0,0
1315,Positive,1,0,1
1316,Neutral,0,0,2
1317,Negative,0,2,0
1318,Negative,0,2,1
1319,Mixed,1,1,0
1320,Negative,0,1,0
1321,Negative,0,1,0
1322,Neutral,0,0,1
1323,Mixed,1,1,0
1324,Neutral,0,0,1
1325,Neutral,0,0,1
1326,Mixed,1,1,0
1327,Neutral,0,0,1
1328,Negative,0,2,2
1329,Negative,0,1,0
1330,Positive,1,0,1
1331,Negative,0,1,2
1332,Neutral,0,0,1
1333,Neutral,0,0,1
1334,Mixed,1,1,1
1335,Negative,0,1,0
1336,Positive,1,0,0
1337,Neutral,0,0,1
1338,Neutral,0,0,1
1339,Mixed,1,1,0
1340,Negative,0,1,0
1341,Negative,0,1,0
1342,Positive,1,0,0
1343,Positive,2,0,0
1344,Negative,0,1,0
1345,Negative,0,1,0
1346,Negative,0,1,0
1347,Negative,0,1,1
1348,Negative,0,1,0
1349,Mixed,1,1,0
1350,Negative,0,1,0
1351,Negative,0,1,1
1352,Positive,1,0,0
1353,Neutral,0,0,1
1354,Positive,1,0,1
1355,Negative,0,1,0
1356,Negative,0,1,0
1357,Mixed,1,1,2
1358,Neutral,0,0,2
1359,Neutral,0,0,1
1360,Positive,1,0,0
1361,Negative,0,1,0
1362,Positive,1,0,1
1363,Negative,0,1,1
1364,Negative,0,1,2
1365,Positive,1,0,0
1366,Negative,0,1,0
1367,Negative,0,1,0
1368,Negative,0,1,0
1369,Neutral,0,0,4
1370,Mixed,1,1,0
1371,Negative,0,1,3
1372,Negative,0,1,1
1373,Neutral,0,0,1
1374,Mixed,1,1,0
1375,Negative,0,1,0
1376,Negative,0,1,0
1377,Neutral,0,0,1
1378,Negative,0,2,0
1379,Negative,0,1,0
1380,Neutral,0,0,1
1381,Neutral,0,0,2
1382,Mixed,1,1,1
1383,Neutral,0,0,2
1384,Negative,0,1,0
1385,Neutral,0,0,1
1386,Negative,0,2,0
1387,Negative,0,1,0
1388,Negative,0,2,0
1389,Neutral,0,0,3
1390,Negative,0,1,0
1391,Negative,0,1,0
1392,Positive,1,0,0
1393,Neutral,0,0,2
1394,Positive,1,0,1
1395,Negative,0,1,0
1396,Positive,1,0,0
1397,Neutral,0,0,1
1398,Neutral,0,0,1
1399,Positive,1,0,0
1400,Mixed,1,1,0
1401,Positive,1,0,0
1402,Negative,0,1,2
1403,Positive,1,0,0
1404,Negative,0,2,1
1405,Negative,0,1,1
1406,Negative,0,1,1
1407,Negative,0,1,1
1408,Neutral,0,0,1
1409,Neutral,0,0,1
1410,Negative,0,1,1
1411,Negative,0,1,0
1412,Negative,0,1,0
1413,Neutral,0,0,1
1414,Neutral,0,0,1
1415,Negative,0,1,1
1416,Negative,0,2,1
1417,Negative,0,1,1
1418,Neutral,0,0,1
1419,Neutral,0,0,2
1420,Negative,0,1,0
1421,Negative,0,1,1
1422,Positive,1,0,0
1423,Neutral,0,0,2
1424,Neutral,0,0,1
1425,Negative,0,1,0
1426,Negative,0,2,0
1427,Negative,0,2,0
1428,Negative,0,1,0
1429,Negative,0,3,1
1430,Neutral,0,0,4
1431,Mixed,1,2,1
1432,Negative,0,1,1
1433,Mixed,1,1,0
1434,Negative,0,1,2
1435,Neutral,0,0,3
1436,Negative,0,1,1
1437,Neutral,0,0,2
1438,Negative,0,1,0
1439,Neutral,0,0,1
1440,Neutral,0,0,1
1441,Positive,1,0,0
1442,Negative,0,1,2
1443,Mixed,1,1,0
1444,Positive,2,0,2
1445,Negative,0,1,0
1446,Neutral,0,0,1
1447,Negative,0,1,0
1448,Negative,0,1,0
1449,Negative,0,2,0
1450,Negative,0,1,0
1451,Negative,0,1,0
1452,Positive,1,0,0
1453,Negative,0,1,0
1454,Negative,0,1,0
1455,Neutral,0,0,1
1456,Negative,0,1,0
1457,Positive,1,0,0
1458,Negative,0,1,1
1459,Mixed,1,1,0
1460,Positive,1,0,0
1461,Positive,1,0,0
1462,Negative,0,1,1
1463,Negative,0,2,0
1464,Neutral,0,0,2
1465,Mixed,1,1,0
1466,Negative,0,1,0
1467,Negative,0,1,1
1468,Negative,0,1,0
1469,Negative,0,1,0
1470,Positive,1,0,0
1471,Negative,0,1,3
1472,Positive,1,0,0
1473,Neutral,0,0,1
1474,Neutral,0,0,2
1475,Positive,1,0,0
1476,Negative,0,1,0
1477,Negative,0,1,0
1478,Mixed,2,1,0
1479,Mixed,1,1,0
1480,Negative,0,1,0
1481,Negative,0,1,1
1482,Neutral,0,0,2
1483,Negative,0,1,0
1484,Negative,0,1,0
1485,Neutral,0,0,1
1486,Positive,2,0,2
1487,Positive,1,0,1
1488,Positive,1,0,0
1489,Negative,0,1,0
1490,Negative,0,1,1
1491,Negative,0,1,0
1492,Neutral,0,0,3
1493,Positive,1,0,0
1494,Positive,1,0,0
1495,Positive,2,0,3
1496,Negative,0,1,0
1497,Negative,0,1,0
1498,Negative,0,1,0
1499,Mixed,1,1,1
1500,Mixed,1,1,0
1501,Mixed,1,1,1
1502,Positive,1,0,0
1503,Neutral,0,0,1
1504,Neutral,0,0,1
1505,Negative,0,1,0
1506,Positive,1,0,0
1507,Negative,0,1,0
1508,Negative,0,1,0
1509,Negative,0,1,0
1510,Positive,1,0,1
1511,Positive,1,0,2
1512,Neutral,0,0,1
1513,Positive,1,0,3
1514,Neutral,0,0,4
1515,Positive,1,0,1
1516,Negative,0,1,0
1517,Positive,1,0,0
1518,Negative,0,1,0
1519,Positive,1,0,0
1520,Positive,1,0,0
1521,Negative,0,1,0
1522,Neutral,0,0,2
1523,Negative,0,1,0
1524,Neutral,0,0,1
1525,Neutral,0,0,1
1526,Negative,0,1,0
1527,Mixed,2,1,0
1528,Positive,1,0,1
1529,Positive,2,0,1
1530,Negative,0,2,1
1531,Negative,0,1,0
1532,Positive,1,0,1
1533,Positive,2,0,1
1534,Mixed,1,1,0
1535,Neutral,0,0,1
1536,Positive,1,0,0
1537,Negative,0,1,1
1538,Positive,2,0,0
1539,Neutral,0,0,2
1540,Positive,1,0,0
1541,Positive,1,0,0
1542,Negative,0,2,0
1543,Negative,0,1,0
1544,Negative,0,1,0
1545,Mixed,1,1,2
1546,Negative,0,1,0
1547,Positive,1,0,1
1548,Neutral,0,0,1
1549,Neutral,0,0,1
1550,Neutral,0,0,1
1551,Negative,0,2,1
1552,Neutral,0,0,1
1553,Positive,1,0,2
1554,Neutral,0,0,3
1555,Neutral,0,0,2
1556,Neutral,0,0,1
1557,Neutral,0,0,2
1558,Positive,1,0,3
1559,Negative,0,1,0
1560,Neutral,0,0,1
1561,Negative,0,1,1
1562,Positive,2,0,0
1563,Negative,0,1,0
1564,Negative,0,1,0
1565,Negative,0,2,0
1566,Neutral,0,0,1
1567,Negative,0,1,0
1568,Positive,1,0,1
1569,Neutral,0,0,1
1570,Positive,2,0,0
1571,Neutral,0,0,1
1572,Positive,1,0,0
1573,Positive,1,0,0
1574,Mixed,1,1,1
1575,Negative,0,1,0
1576,Negative,0,1,1
1577,Neutral,0,0,1
1578,Negative,0,1,1
1579,Negative,0,1,0
1580,Negative,0,1,0
1581,Negative,0,1,0
1582,Mixed,1,2,0
1583,Negative,0,1,2
1584,Negative,0,1,0
1585,Positive,1,0,0
1586,Neutral,0,0,1
1587,Neutral,0,0,3
1588,Negative,0,1,1
1589,Mixed,1,1,0
1590,Negative,0,1,1
1591,Negative,0,2,0
1592,Mixed,1,1,0
1593,Negative,0,1,0
1594,Negative,0,1,1
1595,Negative,0,1,1
1596,Negative,0,1,0
1597,Neutral,0,0,1
1598,Negative,0,1,0
1599,Neutral,0,0,1
1600,Neutral,0,0,1
